千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
包银消费金融数据中心<!sp>机器学习算法高级工程师<!sp>20k-40k<!sp>北京<!sp>经验5-10年<!sp>'征信,算法,机器学习,数据挖掘'<!sp>2018-01-18<!sp>拉勾网<!sp>'数据,算法'<!sp>'学习能力,逻辑思维能力,领悟能力,设计能力,专业素质良好,良好的职业背景,创新能力'<!sp>北京 - 朝阳区 - 亚运村 - 北四环东路干杨树甲16号首华大厦9层
小鱼科技数据部门<!sp>机器学习工程师<!sp>30k-50k<!sp>深圳<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,深度学习,人工智能'<!sp>2018-01-08<!sp>拉勾网<!sp>'职位前景好,未来回报大,现在薪酬高'<!sp>'学习能力,逻辑思维能力,领悟能力'<!sp>深圳 - 南山区 - 迅美科技大厦
WESTWELLlab西井科技<!sp>机器学习算法工程师<!sp>13k-23k<!sp>上海<!sp>经验不限<!sp>'算法'<!sp>2017-12-29<!sp>拉勾网<!sp>'提供一线互联网公司薪水福利'<!sp>'学习能力,常用办公软件的使用,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>上海 - 长宁区 - 镇宁路 - 利西路102弄1幢201
渊亭信息科技<!sp>机器学习算法工程师<!sp>10k-20k<!sp>厦门<!sp>经验不限<!sp>'金融,算法'<!sp>1天前<!sp>拉勾网<!sp>'广大发展空间'<!sp>''<!sp>厦门 - 思明区 - 观音山国际商务营运中心1号楼702室
美味不用等数据智能产品事业部<!sp>机器学习与算法工程师 (C...<!sp>15k-25k<!sp>上海<!sp>经验1-3年<!sp>'算法,软件开发,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'发展前景好,平台大,机会多,待遇好'<!sp>'逻辑思维能力,设计能力,常用办公软件的使用,责任心,沟通表达能力,学习能力,团队协作能力'<!sp>上海 - 浦东新区 - 张江 - 祖冲之路899号88号楼3楼
创新工场AI工程院创新工场AI工程院<!sp>机器学习算法工程师(视频）<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'算法,视频'<!sp>1天前<!sp>拉勾网<!sp>'顶尖大牛,成长机会,商业资源多,工作环境棒'<!sp>'逻辑思维能力,设计能力,学习能力,领导能力,团队协作能力,创新能力'<!sp>北京市 - 海淀区 - 中关村 - 鼎好大厦A座10层
Airdoc研发<!sp>机器学习算法工程师<!sp>30k-50k<!sp>广州<!sp>经验1-3年<!sp>'python,算法,机器学习,医疗健康,人工智能'<!sp>2018-01-12<!sp>拉勾网<!sp>'扁平化,发展空间大'<!sp>''<!sp>工作地址
携程<!sp>机器学习算法工程师<!sp>16k-32k<!sp>上海<!sp>经验3-5年<!sp>'数据分析,算法,数据挖掘,机器学习'<!sp>2017-12-28<!sp>拉勾网<!sp>'大平台,福利棒,发展好'<!sp>'服务意识,学习能力,逻辑思维能力,专业素质良好,良好的职业背景,钻研能力,团队协作能力'<!sp>上海 - 长宁区 - 凌空soho
阿里巴巴新零售平台事业部<!sp>阿里巴巴招聘-机器学习工...<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'数据分析,算法,数据挖掘,机器学习,推荐,模式识别'<!sp>2天前<!sp>拉勾网<!sp>'集团重点,待遇丰厚,业界前沿,技术发展'<!sp>'钻研能力,逻辑思维能力,设计能力,学习能力,专业素质良好,抗压能力,自我管理能力,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 阿里中心
百度度秘事业部<!sp>自然语言处理/机器学习算...<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'高级,算法,软件开发,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'发展空间大,超牛B同事'<!sp>''<!sp>北京 - 海淀区 - 西北旺 - 百度科技园
GFT量化<!sp>机器学习科学家（可兼职）（...<!sp>15k-30k<!sp>武汉<!sp>经验不限<!sp>'python,分析员,js,金融AI'<!sp>1天前<!sp>拉勾网<!sp>'金融AI,替代分析师,大数据处理'<!sp>''<!sp>武汉 - 武昌区 - 积玉桥 - You can work from home
同花顺金融研究中心<!sp>机器学习PhD<!sp>20k-35k<!sp>杭州<!sp>经验1-3年<!sp>'金融,机器学习,深度学习,人工智能,大数据'<!sp>2018-01-02<!sp>拉勾网<!sp>'人工智能,投资机器人,海量数据,团队实力'<!sp>'逻辑思维能力,学习能力,良好的职业背景,领悟能力,专业素质良好,钻研能力'<!sp>杭州 - 余杭区 - 西溪 - 五常街道同顺街18号
360企业安全<!sp>机器学习算法工程师<!sp>20k-40k<!sp>成都<!sp>经验3-5年<!sp>'资深,高级,中级,算法,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,弹性工作,餐饮补贴,节日福利'<!sp>'逻辑思维能力,学习能力,专业素质良好'<!sp>成都 - 高新区 - 肖家河 - 高朋大道12号府河电气基地B座304
同盾科技<!sp>反欺诈机器学习专家-杭州-...<!sp>20k-39k<!sp>杭州<!sp>经验3-5年<!sp>'深度学习,反作弊'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,，,带薪年假'<!sp>'逻辑思维能力,设计能力,钻研能力,学习能力,创新能力,主动性,责任心,团队协作能力,良好的职业背景,领悟能力,专业素质良好,沟通表达能力'<!sp>杭州 - 余杭区 - 仓前 - 文一西路998号海创园
金山云医疗事业部<!sp>机器学习工程师（医疗）<!sp>15k-30k<!sp>北京<!sp>经验1年以下<!sp>'python,机器学习,大数据,医疗健康,自然语言处理'<!sp>2018-01-08<!sp>拉勾网<!sp>'数据分析,机器学习'<!sp>'专业素质良好,学习能力,设计能力'<!sp>北京 - 海淀区 - 上地 - 小营西路33号 金山软件大厦
阿里巴巴—高德<!sp>数据挖掘/算法/机器学习资...<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,大数据,自然语言处理'<!sp>2018-01-02<!sp>拉勾网<!sp>'大平台'<!sp>'逻辑思维能力,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 阜荣街10号首开广场
苏宁金融集团上海研发中心风控研发部<!sp>机器学习工程师<!sp>18k-35k<!sp>上海<!sp>经验5-10年<!sp>'全栈'<!sp>2017-12-29<!sp>拉勾网<!sp>'大数据,反欺诈'<!sp>'学习能力,逻辑思维能力,领悟能力,沟通表达能力,团队协作能力,设计能力,钻研能力,抗压能力'<!sp>上海 - 浦东新区 - 张江 - 张江微电子港
佳诚网络教学部<!sp>机器学习算法讲师<!sp>6k-10k<!sp>石家庄<!sp>经验1-3年<!sp>'机器学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,绩效奖金,带薪年假,定期体检'<!sp>'逻辑思维能力,学习能力'<!sp>石家庄市市市 - 裕华区 - 青园 - 南二环东路20号
微景天下<!sp>机器学习信号处理（三维重...<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习,模式识别,视觉'<!sp>3天前<!sp>拉勾网<!sp>'七险一金,双休,扁平化管理'<!sp>'逻辑思维能力,美术功底,学习能力,英语基础,专业素质良好,主动性,责任心,沟通表达能力,团队协作能力,钻研能力'<!sp>北京 - 海淀区 - 北太平庄 - 西土城路10号北邮科技大厦
XAIRCRAFT极飞无人机研发中心<!sp>机器学习算法工程师<!sp>10k-20k<!sp>广州<!sp>经验1-3年<!sp>'算法,机器学习,深度学习'<!sp>3天前<!sp>拉勾网<!sp>'周末双休,带薪年假,每日下午茶,五险一金'<!sp>'设计能力,学习能力,逻辑思维能力,钻研能力,专业素质良好'<!sp>广州 - 天河区 - 思成路1号高唐软件园北明软件大厦3A01
杭州逐影技术部<!sp>机器学习算法工程师<!sp>15k-30k<!sp>杭州<!sp>经验不限<!sp>'算法,机器学习,深度学习,人工智能'<!sp>2018-01-01<!sp>拉勾网<!sp>'五险一金,餐补,弹性工作,扁平管理'<!sp>'逻辑思维能力,学习能力,沟通表达能力,团队协作能力'<!sp>杭州 - 西湖区 - 古墩路 - 瑞博国际B座308
360<!sp>短视频机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,深度学习,大数据,机器学习,视频'<!sp>2017-12-28<!sp>拉勾网<!sp>'重点项目,大牛团队,前景好'<!sp>'学习能力,逻辑思维能力'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路6号院（电子城•国际电子总部）
OPPO<!sp>高级机器学习算法工程师<!sp>20k-35k<!sp>深圳<!sp>经验3-5年<!sp>'广告营销,高级,算法,大数据,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'亿级用户,给力薪酬,高速发展'<!sp>'逻辑思维能力,学习能力,领悟能力,良好的职业背景,专业素质良好,团队协作能力'<!sp>深圳市市市 - 南山区 - 后海 - 卓越后海中心
网贤数据<!sp>推荐/机器学习高级工程师<!sp>25K-50K<!sp>北京<!sp>经验3-5年<!sp>'hadoop,算法,深度学习'<!sp>2018-01-20<!sp>拉勾网<!sp>'C++六轮融资,全球注册用户4000万'<!sp>'逻辑思维能力,学习能力'<!sp>北京 - 朝阳区 - 大望路 - 百子湾路
